id,Channel_Name,Channel_Id,Comment_Id,Comment_Text,Comment_Author,Comment_PublishedAt,Video_Id
38,India Today,UCYPvAwZP8pZhSMW8qs7cVCw,Comment_Id_1,🛩️🗼🗼,krystiano wnukero,2023-05-22 14:01:00,fiDmXOceGJk
39,India Today,UCYPvAwZP8pZhSMW8qs7cVCw,Comment_Id_2,what a terrible waste ... bhai ye log illegal construction kyun karte hai?,Einstein Wallah,2023-04-10 18:51:30,fiDmXOceGJk
40,India Today,UCYPvAwZP8pZhSMW8qs7cVCw,Comment_Id_3,Ye government sirf yahi kar sakti hai sale ek paise ki kisi ke help nahi kar denge dono raduway kursi pe baith gye hai bs kisi gareeb ki basti walo ko rahne ko de diye hote jinke pass chat nahi hai lekin ye kaha ho payega in raduwo se,barsh foodies,2023-04-04 23:23:34,fiDmXOceGJk
41,India Today,UCYPvAwZP8pZhSMW8qs7cVCw,Comment_Id_4,🎉wet,Surendra Tiger,2023-04-04 20:25:50,fiDmXOceGJk
42,India Today,UCYPvAwZP8pZhSMW8qs7cVCw,Comment_Id_5,Epic,Memes,2023-03-31 08:53:50,fiDmXOceGJk
43,Fit Tuber,UCYC6Vcczj8v-Y5OgpEJTFBw,Comment_Id_1,Thanku so much sir it&#39;s really work three month ago my mother T4 Level is 243 . Ad now after 3 month her T4 level is 13.10 . A huge thanks to u sir,Sabu,2021-02-26 05:55:38,k77F184hi5g
44,Fit Tuber,UCYC6Vcczj8v-Y5OgpEJTFBw,Comment_Id_2,"i ll definitely follow this for nxt 3 months and let u knw if it worked<br>i ws on thyroxin for a year but didn&#39;t worked with hypothyroidism<br>struggling with depression, leg cramps, fatigue, difficulty in work study",Zulfiqar e Mola,2023-06-21 17:17:10,k77F184hi5g
45,Fit Tuber,UCYC6Vcczj8v-Y5OgpEJTFBw,Comment_Id_3,🩸Please 🙏stop being stupid if you have such issues .<br>🩸Consult a doctor 🏥.<br>🩸Fit Tuber is not 🚫 a professional.,Unorthodox Ways,2023-06-21 15:24:29,k77F184hi5g
46,Fit Tuber,UCYC6Vcczj8v-Y5OgpEJTFBw,Comment_Id_4,I really appreciated your work,Mary Sury,2023-06-21 14:43:21,k77F184hi5g
47,Fit Tuber,UCYC6Vcczj8v-Y5OgpEJTFBw,Comment_Id_5,Sir apki Vedio itni effected hai Mei kya batao apko sirf 15 days mei mera thyroid level 6 to 2.1 pe a gya doctors are shocked😮they said how😂,Mary Sury,2023-06-21 14:43:05,k77F184hi5g
